tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
73.313,r&b,SZA,6gU9OKjOE7ghfEd55oRO57,The Weekend,73
73.503,ambient,Magnolia Dreams,5dCxYQPC6pn7FokFTaLL3R,Inner Self,54
73.583,wellness,Jonas Sandberg,569aPavFjL3WvPwZepX67d,Melancholy,62
73.645,country,Jason Morrigan,1PcHxke0IW95xoesZDq7ZJ,Always on My Mind,39
73.664,ambient,Jan Garlow,3ICePNxRuTz1ufDJC7cq08,Reconcile,61
73.841,wellness,Celestial Aura,4HJdSjBogB3I06ObjTQ0MS,Calming Eternity,43
73.896,ambient,The Endity,3W3q7ZBWslm6fWfGnnvmhk,Chasing Infinity,27
73.943,lofi,Moon Cheese,547YTV2dWMOpgxdjGi8Nn8,Inner Peace,48
73.954,classical,"Samuel Barber, Sir Simon Rattle, Berliner Philharmoniker",1CSaCKPIp2yCIDL3t7Fyau,Barber: Adagio for Strings,55
73.968,classical,"Franz Schubert, Wiener Philharmoniker, Josef Krips",52GmHO5DikTIKc3yBmTTT1,"Symphony No. 8 in B Minor, D. 759 ""Unfinished"": I. Allegro moderato",38
73.972,jazz,Zacky Yazz,4eT8pcYWhhcGST01XuzcKp,Battery Park,47
74.009,jazz,"Mindeliq, Billa Qause",68q3yCwDpiaoSQzp2ZWeG2,Urban Oasis,45
74.02,gaming,"chuck e. myers 'sea', J Scott Rakozy, Peter Murray, Hogwarts Legacy",4u3Idn4PRAINifJ5lgzZDx,"Overture to the Unwritten (from ""Hogwarts Legacy"")",37
74.077,lofi,Slow Bounce,7ay42oCBar4ZtjwlvqyKyt,less-than-flattering,48
74.189,ambient,Whispered Dreams,2OP0LH6XsVHHViytoyNtQ0,Aftermoon Nap,43
74.267,blues,"Lil Wayne, Bruno Mars",5hUYsaOyMY32yjRXeuQwGj,Mirror,74
74.375,blues,Tracy Chapman,2DjWsDGgL1xNbhnr7f6t5F,Baby Can I Hold You,72
74.412,wellness,Luka Vida,0YqMuFuT9EWKMFQnZeDlYL,Natural Beauty,44
74.541,pop,Christina Perri,0HZhYMZOcUzZKSFwPOti6m,jar of hearts,69
74.578,ambient,Luna Novina,1lEmgReLHaCJHJwG4OCo13,Eon,48
