tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
84.989,rock,Def Leppard,0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,72
135.997,rock,Foo Fighters,5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,73
127.402,rock,Pat Benatar,0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,70
121.864,rock,The Smashing Pumpkins,6GtX0jaNL8IjVQfrDBx81z,Bullet With Butterfly Wings - Remastered 2012,73
170.814,rock,Stone Temple Pilots,6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,72
133.769,rock,The Clash,5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,70
122.861,rock,Pink Floyd,6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,75
84.383,rock,Tom Petty,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',75
148.117,rock,Blind Melon,6txWz9UapYHVxEd7dDIHXT,No Rain,73
141.167,rock,Van Halen,05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,72
100.127,rock,Alice In Chains,5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),72
146.347,rock,Bruce Springsteen,6hTcuIQa0sxrrByu9wTD7s,Born to Run,70
136.094,jazz,Nat King Cole,648TTtYB0bH0P8Hfy0FmkL,Unforgettable,69
58.303,classical,"Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",68
170.612,classical,"Ludwig van Beethoven, Paul Lewis",3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",68
92.468,classical,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",1BncfTJAWxrsxyT9culBrj,Experience,75
80.09,hip-hop,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",88
130.007,hip-hop,Gunna,2EKL77lwxvo615Ga7VjEUl,HIM ALL ALONG,76
128.085,hip-hop,BigXthaPlug,4CkbpelT92r4dVkceDX9g1,Leave Me Alone,71
120.011,hip-hop,Future,2t4H61OtTYgmDe61KxkjKH,PLUTOSKI,73
119.973,hip-hop,"The Weeknd, Playboi Carti",1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),92
166.976,hip-hop,"GloRilla, Sexyy Red",5xeSd4HgzrYpNLEf3LfYLK,WHATCHU KNO ABOUT ME (feat. Sexyy Red),78
111.907,hip-hop,Lil Baby,6afQ4fJDJ9QqU5BKIH99Ej,Insecurities,70
129.054,hip-hop,NLE Choppa,76Ku9OBFK1NjMylR8r4WLK,Gang Baby,72
119.98,hip-hop,Don Toliver,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,85
78.53,hip-hop,Real Boston Richey,487JCvAXVblflZyDJn3fSp,Help Me,73
125.951,hip-hop,Drake,1560osUcXrnov6yuOjXvc1,No Face,78
131.001,hip-hop,Future,3aCPResPDNae3pXTocGpYe,LIL DEMON,77
106.682,hip-hop,"Luh Tyler, BossMan Dlow",62oLxos6R04SVYL1lXidvu,2 Slippery (feat. BossMan Dlow),69
157.94,hip-hop,"Lil Yachty, Veeze",4lwfqyQXSDJ7kELpMErMih,Sorry Not Sorry,70
143.082,hip-hop,Playboi Carti,2cZOYofOX4d6g0OXxkaIjA,ALL RED,81
147.216,hip-hop,"Lil Tecca, Don Toliver",1Ftb0PK0Qqwax3gofiMd2X,I CAN’T LET GO,73
184.057,hip-hop,Lil Uzi Vert,4ppKM7xnkSAwSyKqD4QTY4,Chill Bae,76
114.991,hip-hop,BigXthaPlug,26TX1oZbaDeKxfTYDclSAo,2AM,69
139.942,hip-hop,"Drake, Young Thug, 21 Savage",1qIwin7JMVuX70qN6wD8ww,It's Up (feat. Young Thug & 21 Savage),76
139.905,hip-hop,BabyChiefDoit,2JapCT0xikq6Fy1PQiJz1C,The Viper,68
75.013,hip-hop,Latto,1JF8LkQWZ8grXb2emqrNKn,Brokey,70
63.925,hip-hop,Rod Wave,0U60hgxzGit7juEuHul2y3,25,76
125.845,hip-hop,"NLE Choppa, 41, Kyle Richh",3lUYO6zvXI88sNDpyKvIJ2,Or What,77
144.941,hip-hop,"Future, Metro Boomin, Travis Scott, Playboi Carti",28drn6tQo95MRvO0jQEo5C,Type Shit,84
101.061,hip-hop,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,88
129.77,hip-hop,"Tyler, The Creator, ScHoolboy Q, Santigold",2aYHxnMF2umAavtgBvmkY1,Thought I Was Dead (feat. ScHoolboy Q & Santigold),85
121.991,hip-hop,"¥$, Playboi Carti, Don Toliver, Kodak Black",3lCb7ZYE3Fvie4JOPqpXfY,FIELD TRIP,72
124.005,hip-hop,Future,2jnezASa7o0lP6aif6VrIf,TEFLON DON,74
146.007,hip-hop,Drake,1eroCliWpJrEu1V7VSObcO,Circadian Rhythm,79
131.041,hip-hop,BigXthaPlug,1F5Qp0SJS0QUfqIoQggrLz,The Largest,68
140.203,hip-hop,Lil Uzi Vert,3NE6g9h77FZbQqCLzUpGRt,Light Year (Practice),73
104.563,hip-hop,"Tee Grizzley, J. Cole",3rXlcLZk3MCaRPND5g9QiW,Blow for Blow (feat. J. Cole),69
82.557,hip-hop,"Tyler, The Creator",5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,87
78.022,hip-hop,Juice WRLD,2FRc9wqgIjg2E3bH13ww6U,Both Ways,73
117.038,hip-hop,Doechii,2dKkVF2m160z0RNDN2dddc,NISSAN ALTIMA,72
77.499,hip-hop,A$AP Rocky,5xMjhZKSo8yh5r9b5vrYRr,Tailor Swif,74
158.042,hip-hop,Yeat,32ioWMgkyA6mFcXJMggBoz,GEEK TIMË,72
108.52,hip-hop,50 Cent,2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),71
101.061,hip-hop,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,88
140.113,hip-hop,"Central Cee, Lil Baby",7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),81
144.941,hip-hop,"Future, Metro Boomin, Travis Scott, Playboi Carti",28drn6tQo95MRvO0jQEo5C,Type Shit,84
123.987,hip-hop,"41, Kyle Richh, Jenn Carter, TaTa",1haa8GXT0cl9wzRnpZG0YH,"Bent (with Kyle Richh, Jenn Carter & TaTa)",68
142.096,hip-hop,Pop Smoke,79s5XnCN4TJKTVMSmOx8Ep,Dior,76
121.854,hip-hop,"Offset, Travis Scott",2Gk6fi0dqt91NKvlzGsmm7,SAY MY GRACE (feat. Travis Scott),70
125.089,hip-hop,Lil Loaded,3WCXvxgQ7U3mznWsQjiEMu,6locc 6a6y,69
142.974,hip-hop,"Lil Durk, J. Cole",6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),69
116.624,hip-hop,"Metro Boomin, Future, Chris Brown",0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],79
159.98,hip-hop,King Von,7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,78
144.006,hip-hop,Central Cee,4vzJrkfHbCGaodPA5RY5BV,Loading,70
165.409,hip-hop,"21 Savage, Travis Scott, Metro Boomin",2yUzr8Sr6ldG8vmHhZwTnz,née-nah,73
