tempo,genre,track_artist,track_id,track_name,track_popularity
73.5,ambient,Magnolia Dreams,5dCxYQPC6pn7FokFTaLL3R,Inner Self,54
73.6,wellness,Jonas Sandberg,569aPavFjL3WvPwZepX67d,Melancholy,62
73.6,country,Jason Morrigan,1PcHxke0IW95xoesZDq7ZJ,Always on My Mind,39
73.7,ambient,Jan Garlow,3ICePNxRuTz1ufDJC7cq08,Reconcile,61
73.8,wellness,Celestial Aura,4HJdSjBogB3I06ObjTQ0MS,Calming Eternity,43
73.9,ambient,The Endity,3W3q7ZBWslm6fWfGnnvmhk,Chasing Infinity,27
73.9,lofi,Moon Cheese,547YTV2dWMOpgxdjGi8Nn8,Inner Peace,48
74.0,classical,"Samuel Barber, Sir Simon Rattle, Berliner Philharmoniker",1CSaCKPIp2yCIDL3t7Fyau,Barber: Adagio for Strings,55
74.0,classical,"Franz Schubert, Wiener Philharmoniker, Josef Krips",52GmHO5DikTIKc3yBmTTT1,"Symphony No. 8 in B Minor, D. 759 ""Unfinished"": I. Allegro moderato",38
74.0,jazz,Zacky Yazz,4eT8pcYWhhcGST01XuzcKp,Battery Park,47
74.0,jazz,"Mindeliq, Billa Qause",68q3yCwDpiaoSQzp2ZWeG2,Urban Oasis,45
74.0,gaming,"chuck e. myers 'sea', J Scott Rakozy, Peter Murray, Hogwarts Legacy",4u3Idn4PRAINifJ5lgzZDx,"Overture to the Unwritten (from ""Hogwarts Legacy"")",37
74.1,lofi,Slow Bounce,7ay42oCBar4ZtjwlvqyKyt,less-than-flattering,48
74.2,ambient,Whispered Dreams,2OP0LH6XsVHHViytoyNtQ0,Aftermoon Nap,43
74.3,blues,"Lil Wayne, Bruno Mars",5hUYsaOyMY32yjRXeuQwGj,Mirror,74
74.4,blues,Tracy Chapman,2DjWsDGgL1xNbhnr7f6t5F,Baby Can I Hold You,72
74.4,wellness,Luka Vida,0YqMuFuT9EWKMFQnZeDlYL,Natural Beauty,44
74.5,pop,Christina Perri,0HZhYMZOcUzZKSFwPOti6m,jar of hearts,69
74.6,ambient,Luna Novina,1lEmgReLHaCJHJwG4OCo13,Eon,48
74.7,cantopop,Sally Yeh,2zrhdM0gr9PVSkznukbALL,阿信的故事,15
