playlist_genre,track_name,track_artist,track_popularity,analysis_url
hip-hop,Chill Bae,Lil Uzi Vert,76,https://api.spotify.com/v1/audio-analysis/4ppKM7xnkSAwSyKqD4QTY4
hip-hop,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",76,https://api.spotify.com/v1/audio-analysis/1qIwin7JMVuX70qN6wD8ww
hip-hop,Brokey,Latto,70,https://api.spotify.com/v1/audio-analysis/1JF8LkQWZ8grXb2emqrNKn
hip-hop,25,Rod Wave,76,https://api.spotify.com/v1/audio-analysis/0U60hgxzGit7juEuHul2y3
hip-hop,Or What,"NLE Choppa, 41, Kyle Richh",77,https://api.spotify.com/v1/audio-analysis/3lUYO6zvXI88sNDpyKvIJ2
hip-hop,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",84,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C
hip-hop,Not Like Us,Kendrick Lamar,88,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3
hip-hop,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",85,https://api.spotify.com/v1/audio-analysis/2aYHxnMF2umAavtgBvmkY1
hip-hop,FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black",72,https://api.spotify.com/v1/audio-analysis/3lCb7ZYE3Fvie4JOPqpXfY
hip-hop,TEFLON DON,Future,74,https://api.spotify.com/v1/audio-analysis/2jnezASa7o0lP6aif6VrIf
hip-hop,Circadian Rhythm,Drake,79,https://api.spotify.com/v1/audio-analysis/1eroCliWpJrEu1V7VSObcO
hip-hop,Light Year (Practice),Lil Uzi Vert,73,https://api.spotify.com/v1/audio-analysis/3NE6g9h77FZbQqCLzUpGRt
hip-hop,Rah Tah Tah,"Tyler, The Creator",87,https://api.spotify.com/v1/audio-analysis/5RePVWy39tLpHH0WwXgBsK
hip-hop,Both Ways,Juice WRLD,73,https://api.spotify.com/v1/audio-analysis/2FRc9wqgIjg2E3bH13ww6U
hip-hop,NISSAN ALTIMA,Doechii,72,https://api.spotify.com/v1/audio-analysis/2dKkVF2m160z0RNDN2dddc
hip-hop,Tailor Swif,A$AP Rocky,74,https://api.spotify.com/v1/audio-analysis/5xMjhZKSo8yh5r9b5vrYRr
hip-hop,GEEK TIMË,Yeat,72,https://api.spotify.com/v1/audio-analysis/32ioWMgkyA6mFcXJMggBoz
hip-hop,Many Men (Wish Death),50 Cent,71,https://api.spotify.com/v1/audio-analysis/2I9foKseoFQh07p6sD2voE
hip-hop,Not Like Us,Kendrick Lamar,88,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3
hip-hop,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",81,https://api.spotify.com/v1/audio-analysis/7iabz12vAuVQYyekFIWJxD
hip-hop,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",84,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C
hip-hop,Dior,Pop Smoke,76,https://api.spotify.com/v1/audio-analysis/79s5XnCN4TJKTVMSmOx8Ep
hip-hop,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",70,https://api.spotify.com/v1/audio-analysis/2Gk6fi0dqt91NKvlzGsmm7
hip-hop,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",79,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j
hip-hop,Took Her To The O,King Von,78,https://api.spotify.com/v1/audio-analysis/7fEoXCZTZFosUFvFQg1BmW
hip-hop,Loading,Central Cee,70,https://api.spotify.com/v1/audio-analysis/4vzJrkfHbCGaodPA5RY5BV
hip-hop,née-nah,"21 Savage, Travis Scott, Metro Boomin",73,https://api.spotify.com/v1/audio-analysis/2yUzr8Sr6ldG8vmHhZwTnz
hip-hop,Love Sosa,Chief Keef,77,https://api.spotify.com/v1/audio-analysis/01Lr5YepbgjXAWR9iOEyH1
hip-hop,Drankin N Smokin,"Future, Lil Uzi Vert",70,https://api.spotify.com/v1/audio-analysis/0k7wmahjkn389wAZdz19Cv
hip-hop,Invincible,Pop Smoke,71,https://api.spotify.com/v1/audio-analysis/792HwhrdO3ErRKL5yRe4Ge
hip-hop,Mr. Glock,Key Glock,70,https://api.spotify.com/v1/audio-analysis/1ipSpQfzBbhPFhYm6tfVIz
hip-hop,Runnin,"21 Savage, Metro Boomin",78,https://api.spotify.com/v1/audio-analysis/5SWnsxjhdcEDc7LJjq9UHk
hip-hop,Armed & Dangerous,King Von,72,https://api.spotify.com/v1/audio-analysis/2297mxrYLBAC4XkhXs39If
hip-hop,Coffin,Lil Yachty,70,https://api.spotify.com/v1/audio-analysis/5vDNippoMr52KpXBO9b9KQ
